This file details all ports used by all code (retail, tools, tests, etc.) in
  the Xbox project.  The goal is to prevent collisions, implement some
  semblance of source control, document all uses of ports, and so on.

Guidelines:

Any code that needs to conform to a known app (e.g. Echo) needs to use the
  known port (e.g. 7).
Ideally, any other code should use the dynamic and/or private port range of
  49152 through 65535.
Try to cluster the ports rather that scattering across the entire range.  


Port   Type  Usage Description       Owner
-------------------------------------------------------------------------------

99     TCP   Test Harness Launcher   jpoley
200    TCP   USB Simulator           jpoley
200    UDP   USB Simulator           jpoley
201    TCP   USB Simulator           jpoley
202    TCP   USB Simulator           jpoley
203    TCP   USB Simulator           jpoley
204    TCP   USB Simulator           jpoley
205    TCP   USB Simulator           jpoley
206    TCP   USB Simulator           jpoley
207    TCP   USB Simulator           jpoley
208    TCP   USB Simulator           jpoley
209    TCP   USB Simulator           jpoley
210    TCP   USB Simulator           jpoley
53331  TCP   SliX                    jgould
65532  UDP   SendRecv Stress         tristanj
65533  UDP   SendRecv Stress         tristanj
65533  TCP   SendRecv Stress         tristanj
65534  UDP   Netsync                 steveke
65535  UDP   Netsync                 steveke
