Element Name,Windows NT,Windows,Component,Component Version,Declaration Header,Include Header,Library,Unicode,Element Type
ACCESS_MODE,Windows NT 4.0 or later,,Access Control,,Accctrl.h,,,,enumeration
ACL_INFORMATION_CLASS,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,enumeration
AUDIT_EVENT_TYPE,Windows 2000,,Access Control,,Winnt.h,Windows.h,,,enumeration
MULTIPLE_TRUSTEE_OPERATION,Windows NT 4.0 or later,,Access Control,,Accctrl.h,,,,enumeration
SE_OBJECT_TYPE,Windows NT 4.0 or later,,Access Control,,Accctrl.h,,,,enumeration
SECURITY_IMPERSONATION_LEVEL,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,enumeration
SI_PAGE_TYPE,Windows 2000,,Access Control,,Aclui.h,,,,enumeration
SID_NAME_USE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,enumeration
TOKEN_INFORMATION_CLASS,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,enumeration
TOKEN_TYPE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,enumeration
TRUSTEE_FORM,Windows NT 4.0 or later,,Access Control,,Accctrl.h,,,,enumeration
TRUSTEE_TYPE,Windows NT 4.0 or later,,Access Control,,Accctrl.h,,,,enumeration
AccessCheck,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AccessCheckAndAuditAlarm,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
AccessCheckByType,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AccessCheckByTypeAndAuditAlarm,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
AccessCheckByTypeResultList,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AccessCheckByTypeResultListAndAuditAlarm,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
AccessCheckByTypeResultListAndAuditAlarmByHandle,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
AddAccessAllowedAce,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAccessAllowedAceEx,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAccessAllowedObjectAce,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAccessDeniedAce,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAccessDeniedAceEx,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAccessDeniedObjectAce,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAce,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAuditAccessAce,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAuditAccessAceEx,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AddAuditAccessObjectAce,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AdjustTokenGroups,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AdjustTokenPrivileges,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
